i1,i2,d
2,42,0.32184965950951827
2,43,0.2930612178395424
2,44,0.2633094169740273
2,45,0.23250223959836602
2,46,0.2005803507122763
2,47,0.16749830563035406
2,48,0.13316386959082716
2,49,0.09752391131540716
2,50,0.06045396381344781
2,51,0.021881440435885025
2,52,-0.017575413155770048
2,53,-0.0586235681722066
2,54,-0.10141475413532242
2,55,-0.1459764109745273
2,56,-0.19288740654424597
2,57,-0.24148960561251476
2,58,-0.29318924223463305
2,59,-0.3471768726899075
2,60,-0.40380645764419787
2,61,-0.4634446417176571
2,62,-0.5259064632797895
2,63,-0.5910625642523523
2,64,-0.659623449304637
2,65,-0.7319751810925935
2,66,-0.808366653281123
2,67,-0.8891544916714819
2,68,-0.9746853240304555
2,69,-1.065430602764379
2,70,-1.1618892367002185
2,71,-1.2646823451254163
2,72,-1.3746236299635521
2,73,-1.4922690468295485
2,74,-1.6183394017152453
2,75,-1.753907103251227
2,76,-1.8971495317102027
2,77,-2.051561510517021
2,78,-2.2187930561994462
2,79,-2.4004745232319555
2,80,-2.59846310259482
2,81,-2.8154708270501203
2,82,-3.0539880930414856
2,83,-3.3170458534751357
2,84,-3.60893842246324
2,85,-3.934929895886263
2,86,-4.3011449159697275
2,87,-4.715844741861807
2,88,-5.18879227415961
2,89,-5.733474953021604
2,90,-6.368220985379696
2,91,-7.129800361514815
2,92,-8.043827774703704
2,93,-9.160838207569027
2,94,-10.556759576971062
2,95,-12.349984123648758
2,96,-14.703219756925673
2,97,-17.98526777346108
2,98,-22.857793439207768
2,99,-30.974963287584504
3,4,0.9897933510860075
3,5,0.9794053595737332
3,6,0.9687996596729915
3,7,0.9579583420683926
3,8,0.9468958577519129
3,9,0.9354007242700062
3,10,0.9236544783791986
3,11,0.9116271562852497
3,12,0.899305783515874
3,13,0.886741787312522
3,14,0.8740546352879023
3,15,0.861086953399684
3,16,0.8478091595862642
3,17,0.8342196393434012
3,18,0.8203074744339549
3,19,0.8060218143418969
3,20,0.791390319718841
3,21,0.7763748461888069
3,22,0.7609432339103164
3,23,0.7451296207469128
3,24,0.7288927010222428
3,25,0.7122379183143488
3,26,0.6955115031503729
3,27,0.678330856832013
3,28,0.6606716919957707
3,29,0.6425356500702406
3,30,0.6238866842334492
3,31,0.6047052884430298
3,32,0.584991061670034
3,33,0.5647209209603914
3,34,0.5438379333601591
3,35,0.522322448386566
3,36,0.49984711625630873
3,37,0.4766848114851251
3,38,0.45279282428859813
3,39,0.42815476544173825
3,40,0.4029574578924724
3,41,0.37696479909239766
3,42,0.3500581575692717
3,43,0.32223739090448256
3,44,0.293502463752243
3,45,0.263766354840844
3,46,0.23297356513903955
3,47,0.201082380283379
3,48,0.16800648007427776
3,49,0.13369675179833207
3,50,0.09803604543420874
3,51,0.06095836048940706
3,52,0.02306001799429802
3,53,-0.016335095574152914
3,54,-0.05736890597043798
3,55,-0.10006303970251473
3,56,-0.14496699403481095
3,57,-0.1914459075207574
3,58,-0.24083739554261652
3,59,-0.29236051110922323
3,60,-0.34634609620733026
3,61,-0.4031333365868658
3,62,-0.4625374158863894
3,63,-0.5244253972829825
3,64,-0.5894609581248188
3,65,-0.6579956202920924
3,66,-0.7302509552787239
3,67,-0.8065461493887048
3,68,-0.8871876949811136
3,69,-0.9725961961882302
3,70,-1.0632150991594815
3,71,-1.1595948352696972
3,72,-1.2624612303863736
3,73,-1.3722896676594072
3,74,-1.48970126656228
3,75,-1.6156338213321124
3,76,-1.7483314678096322
3,77,-1.8909605743827096
3,78,-2.0449459967817614
3,79,-2.21166817144034
3,80,-2.392681923304167
3,81,-2.5902824336839823
3,82,-2.806510044419846
3,83,-3.043830524498874
